site,year,block,n_trt,nrate_kgha,yield_kgha,weather
A,2004,1,N0,0,6860,normal
A,2004,2,N0,0,7048,normal
A,2004,3,N0,0,8083,normal
A,2004,4,N0,0,8194,normal
A,2004,1,N60,60,10010,normal
A,2004,2,N60,60,9568,normal
A,2004,3,N60,60,10256,normal
A,2004,4,N60,60,10939,normal
A,2004,1,N90,90,11959,normal
A,2004,2,N90,90,11030,normal
A,2004,3,N90,90,11757,normal
A,2004,4,N90,90,12308,normal
A,2004,1,N120,120,14029,normal
A,2004,2,N120,120,13043,normal
A,2004,3,N120,120,13659,normal
A,2004,4,N120,120,13908,normal
A,2004,1,N180,180,13304,normal
A,2004,2,N180,180,14087,normal
A,2004,3,N180,180,12808,normal
A,2004,4,N180,180,13577,normal
A,2004,1,N240,240,14200,normal
A,2004,2,N240,240,12893,normal
A,2004,3,N240,240,13340,normal
A,2004,4,N240,240,13805,normal
A,2004,1,N300,300,12182,normal
A,2004,2,N300,300,13201,normal
A,2004,3,N300,300,13830,normal
A,2004,4,N300,300,13000,normal
A,2005,1,N0,0,6483,dry
A,2005,2,N0,0,5265,dry
A,2005,3,N0,0,4198,dry
A,2005,4,N0,0,5710,dry
A,2005,1,N60,60,8888,dry
A,2005,2,N60,60,6096,dry
A,2005,3,N60,60,7375,dry
A,2005,4,N60,60,7094,dry
A,2005,1,N90,90,9751,dry
A,2005,2,N90,90,8048,dry
A,2005,3,N90,90,7448,dry
A,2005,4,N90,90,8790,dry
A,2005,1,N120,120,7001,dry
A,2005,2,N120,120,8565,dry
A,2005,3,N120,120,8853,dry
A,2005,4,N120,120,8583,dry
A,2005,1,N180,180,7853,dry
A,2005,2,N180,180,8383,dry
A,2005,3,N180,180,9520,dry
A,2005,4,N180,180,7853,dry
A,2005,1,N240,240,9640,dry
A,2005,2,N240,240,8462,dry
A,2005,3,N240,240,8208,dry
A,2005,4,N240,240,8459,dry
A,2005,1,N300,300,9006,dry
A,2005,2,N300,300,8404,dry
A,2005,3,N300,300,8611,dry
A,2005,4,N300,300,8560,dry
A,2006,1,N0,0,6331,wet
A,2006,2,N0,0,7426,wet
A,2006,3,N0,0,7311,wet
A,2006,4,N0,0,7708,wet
A,2006,1,N60,60,11181,wet
A,2006,2,N60,60,11552,wet
A,2006,3,N60,60,10156,wet
A,2006,4,N60,60,10914,wet
A,2006,1,N90,90,13975,wet
A,2006,2,N90,90,13319,wet
A,2006,3,N90,90,14751,wet
A,2006,4,N90,90,13010,wet
A,2006,1,N120,120,14758,wet
A,2006,2,N120,120,14461,wet
A,2006,3,N120,120,14986,wet
A,2006,4,N120,120,14418,wet
A,2006,1,N180,180,15565,wet
A,2006,2,N180,180,16710,wet
A,2006,3,N180,180,14880,wet
A,2006,4,N180,180,15272,wet
A,2006,1,N240,240,16171,wet
A,2006,2,N240,240,15908,wet
A,2006,3,N240,240,14886,wet
A,2006,4,N240,240,15584,wet
A,2006,1,N300,300,15923,wet
A,2006,2,N300,300,15052,wet
A,2006,3,N300,300,15184,wet
A,2006,4,N300,300,14142,wet
B,2004,1,N0,0,5682,normal
B,2004,2,N0,0,4456,normal
B,2004,3,N0,0,3897,normal
B,2004,4,N0,0,4205,normal
B,2004,1,N60,60,5674,normal
B,2004,2,N60,60,7306,normal
B,2004,3,N60,60,6294,normal
B,2004,4,N60,60,5330,normal
B,2004,1,N90,90,6739,normal
B,2004,2,N90,90,9149,normal
B,2004,3,N90,90,8688,normal
B,2004,4,N90,90,6766,normal
B,2004,1,N120,120,9885,normal
B,2004,2,N120,120,11443,normal
B,2004,3,N120,120,9187,normal
B,2004,4,N120,120,9930,normal
B,2004,1,N180,180,11736,normal
B,2004,2,N180,180,11413,normal
B,2004,3,N180,180,11041,normal
B,2004,4,N180,180,10011,normal
B,2004,1,N240,240,12224,normal
B,2004,2,N240,240,10999,normal
B,2004,3,N240,240,10372,normal
B,2004,4,N240,240,11726,normal
B,2004,1,N300,300,12948,normal
B,2004,2,N300,300,10920,normal
B,2004,3,N300,300,12066,normal
B,2004,4,N300,300,11353,normal
B,2005,1,N0,0,4376,dry
B,2005,2,N0,0,3641,dry
B,2005,3,N0,0,3189,dry
B,2005,4,N0,0,3815,dry
B,2005,1,N60,60,4441,dry
B,2005,2,N60,60,4721,dry
B,2005,3,N60,60,5560,dry
B,2005,4,N60,60,5154,dry
B,2005,1,N90,90,6359,dry
B,2005,2,N90,90,6283,dry
B,2005,3,N90,90,5338,dry
B,2005,4,N90,90,7115,dry
B,2005,1,N120,120,7742,dry
B,2005,2,N120,120,6889,dry
B,2005,3,N120,120,6504,dry
B,2005,4,N120,120,7075,dry
B,2005,1,N180,180,8976,dry
B,2005,2,N180,180,8527,dry
B,2005,3,N180,180,8878,dry
B,2005,4,N180,180,8112,dry
B,2005,1,N240,240,8665,dry
B,2005,2,N240,240,8836,dry
B,2005,3,N240,240,8516,dry
B,2005,4,N240,240,8231,dry
B,2005,1,N300,300,8318,dry
B,2005,2,N300,300,8540,dry
B,2005,3,N300,300,8357,dry
B,2005,4,N300,300,8466,dry
B,2006,1,N0,0,6740,wet
B,2006,2,N0,0,6904,wet
B,2006,3,N0,0,7008,wet
B,2006,4,N0,0,9384,wet
B,2006,1,N60,60,12350,wet
B,2006,2,N60,60,9755,wet
B,2006,3,N60,60,12488,wet
B,2006,4,N60,60,11308,wet
B,2006,1,N90,90,14801,wet
